,Objeto do Contrato,Tipo de Procedimento,Tipo(s) de Contrato,CPV,CPV Tipo ,CPV Designação,CPV Valor,Entidade(s) Adjudicante(s),Entidade(s) Adjudicatária(s),Preço Contratual,Data de Publicação,Data de Celebração do Contrato,Prazo de Execução,Fundamentação,Causa de Extinção do Contrato,Data de Fecho do Contrato,Preço Total Efetivo,Causas das Alterações ao Prazo,Causas das Alterações ao Preço,Estado,N.º registo do Acordo Quadro,Descrição do Acordo Quadro,Procedimento Centralizado,Ligação para Peças do Procedimento,Lista de Fornecedores (cocontratantes),Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE,groupMembers,CPV_VALOR_TRIM,NIF_AJUDICARIO,Nome_tratado,Prazo_execução_nr,Valor_Dia,preço_contratual_nr
1628,"Aquisição de serviços de operação (roll out e suporte),manutenção e desenvolvimento da plataforma de interoperabilidade da SPMS (LIGHt)",Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,174240.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Optimizer- Serviços e Consultadoria Informática, Lda (504775936)","174.240,00 €",01-03-2017,2017-02-06,365 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,174240.0,504775936,"Optimizer – Serviços e Consultadoria Informática, Lda., (504775936), Claranet II Solutions, S.A.  (510728189), ITSECTOR - SISTEMAS DE INFORMAÇÃO, S.A. (507291727)",365,477.36986301369865,174240.0
1629,Aquisição de equipamento informático ,Ajuste Direto Regime Geral,Aquisição de bens móveis,30200000-1,Principal,Equipamento e material informático,6895.9 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Iten Solutions -Sistemas de Informação, S.A. (510728189)","6.895,90 €",01-03-2017,2016-12-29,60 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,31-12-2016,"6.895,90 €",,,,Não aplicável.,Não aplicável.,False,,False,,,6895.9,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)",60,114.93166666666666,6895.9
1630,"Aquisição de serviços de manutenção de solução para centro de suporte da SPMS, EPE",Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,9900.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",NOS (502604751),"9.900,00 €",01-03-2017,2017-02-02,90 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,9900.0,502604751,"NOS- Comunicações, S.A (502604751)",90,110.0,9900.0
1631,Aquisição de serviços para elaboração de monitorização de processos internos da OSI ,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,71317200-5,Principal,Serviços de saúde e segurança,90013.44 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Everis Portugal, S.A. (506204650)","90.013,44 €",01-03-2017,2017-01-26,365 dias,Artigo 259.º do Código dos Contratos Públicos,Cumprimento integral do contrato,26-01-2018,"90.013,44 €",,,,2096651,Acordo quadro para Prestação de Serviços de Consultadoria na área Jurídica às Instituições e Serviços do Serviço Nacional de Saúde e entidades do Ministério da Saúde ,False,,False,,,90013.44,506204650,"NTT Data Portugal, S.A. (506204650)",365,246.61216438356166,90013.44
1632,Serviços de manutenção de equipamento IBM do Datacenter,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,339861.67 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Informática El Corte Inglês, S.A. (980079659)","339.861,67 €",01-03-2017,2017-01-31,365 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,339861.67,980079659,"Informática El corte Inglês, SA (980079659)",365,931.1278630136986,339861.67
1633,"Aquisição de serviços de armazenamento, produção e distribuição de kits - Programa Troca de Seringas",Ajuste Direto Regime Geral,Aquisição de serviços,79921000-6,Principal,Serviços de embalagem,26962.5 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Efervescente - Design e Comunicação, Ldª (506738400)","26.962,50 €",21-02-2017,2017-02-09,90 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,28-04-2017,"26.962,50 €",,,,Não aplicável.,Não aplicável.,False,,False,,,26962.5,506738400,"Efervescente Design e Comunicação, Lda. (506738400)",90,299.5833333333333,26962.5
1634,Aquisição de ampolas de água bidestilada - Programa Troca de Seringas,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de bens móveis,33600000-6,Principal,Produtos farmacêuticos,70000.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","LABESFAL-LABORATORIOS ALMIRO, SA (501169580)","70.000,00 €",16-02-2017,2017-02-06,328 dias,Artigo 259.º do Código dos Contratos Públicos,Cumprimento integral do contrato,29-12-2017,"70.000,00 €",,,,1331181,Acordo Quadro para fornecimento de corretivos da volémia e outras soluções estéreis às Instituições e Serviços do Serviço Nacional de Saúde,False,,False,,,70000.0,501169580,"Labesfal - Laboratórios Almiro, S.A. (501169580)",328,213.41463414634146,70000.0
1635,Aquisição de serviços de seguros de vida para dadores e potenciais dadores vivos de órgãos,Concurso público,Aquisição de serviços,66510000-8,Principal,Serviços de seguros,23156.8 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","WILLIS, CORRETORES DE SEGUROS, S.A. (500188629)","23.156,80 €",15-02-2017,2016-07-13,365 dias,Artigo 28.º do Código dos Contratos Públicos,,,,,,,Não aplicável.,Não aplicável.,False,,False,,,23156.8,500188629,"Willos Towers Warson/ Willis - Corretores de Seguros, S.A. (500188629)",365,63.44328767123287,23156.8
1636,Aquisição de serviços de apoio às compras da SPMS na conceptualização e execução de uma estratégia de melhoria da eficiência das compras da saúde e transversais,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,71317200-5,Principal,Serviços de saúde e segurança,151900.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Deloitte Consultores SA (502310090),"151.900,00 €",15-02-2017,2016-12-30,210 dias,Artigo 259.º do Código dos Contratos Públicos,Cumprimento integral do contrato,31-08-2017,"151.900,00 €",,,,2096651,Acordo quadro para Prestação de Serviços de Consultadoria na área Jurídica às Instituições e Serviços do Serviço Nacional de Saúde e entidades do Ministério da Saúde ,False,,False,,,151900.0,502310090,"Deloitte Consultores, S.A. (502310090), BAS - Sociedade de Advogados (509100007), ACCENTURE (502309440), Eduardo Serra Jorge & Maria José Garcia Sociedade de Advogados RL (503552119), CAPGEMINI PORTUGAL - Serviços de Consultoria e Informática, S.A. (502829257), ALTRANPORTUGAL (504272179), BDO & ASSOCIADOS, SOCIEDADE DE REVISORES OFICIAIS DE CONTAS, LDA. (501340467), Babel Ibérica, S.A. (507025229), Cruz, Menezes, Salinas & Associados  (504046799), Claranet Portugal S.A. (503412031), BIQ - HEALTH SOLUTIONS, LDA. (504105337), WAKARU Consulting, Lda. (510635679), INCENTEA -TECNOLOGIA DE GESTÃO, S.A (501968326), NoLimits Consulting - Serviços em Sistemas de Informação, S.A. (505581477), Vieira, Costa Gomes - Sociedade de Advogados, RL (509090575), LCG - Consultoria, S.A. (509478832), MEO-Serviço de Comunicações e Multimédia,S.A (504615947), GMVIS Skysoft, S.A. (504076418), Everis Portugal, SA (506204650), PLMJ Advogados, SP, RL (502289929), FOCUS2COMPLY, LDA (513380930), Indra Sistemas Portugal, S.A. (506176142), Glintt - Healthcare Solutions, S.A. (502479418)",210,723.3333333333334,151900.0
1637,Aquisição de serviços na área de análise de dados e produção de relatórios estatísticos e de gestão ,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,71317200-5,Principal,Serviços de saúde e segurança,22176.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","ITEN SOLUTIONS - Sistemas de Informação, S.A. (510728189)","22.176,00 €",15-02-2017,2016-10-21,90 dias,Artigo 259.º do Código dos Contratos Públicos,Cumprimento integral do contrato,29-12-2017,"22.176,00 €",,,,2096651,Acordo quadro para Prestação de Serviços de Consultadoria na área Jurídica às Instituições e Serviços do Serviço Nacional de Saúde e entidades do Ministério da Saúde ,False,,False,,,22176.0,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)",90,246.4,22176.0
1638,Aquisição de serviços de fornecimento de eletricidade em regime de mercado livres para baixa tensão normal,Ajuste Direto Regime Geral,Aquisição de serviços,65310000-9,Principal,Distribuição de electricidade,24667.94 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","EDP COMERCIAL-COMERCIALIZAÇÃO DE ENERGIA, S.A. (503504564)","24.667,94 €",13-02-2017,2016-11-29,365 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,29-12-2017,"24.667,94 €",,,,Não aplicável.,Não aplicável.,False,,False,,,24667.94,503504564,"EDP Comercial - Comercialização de Energia, S.A. (503504564)",365,67.58339726027397,24667.94
1639,Aquisição de serviços técnicos de apoio informático interno ,Ajuste Direto Regime Geral,Aquisição de serviços,71356300-1,Principal,Serviços de apoio técnico,47969.86 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","INFORMANTEN,SA (503670693)","47.969,86 €",13-02-2017,2017-01-17,347 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,31-12-2017,"47.969,86 €",,,,Não aplicável.,Não aplicável.,False,,False,,,47969.86,503670693,Informantem SA (503670693),347,138.24167146974062,47969.86
1640,Aquisição de serviços de suporte e desenvolvimento de novas áreas do portal do Serviço Nacional de Saúde (SNS) ,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,53000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","InovaStream, Lda (510610641)","53.000,00 €",09-02-2017,2017-01-12,365 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,29-12-2017,"53.000,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,53000.0,510610641,"Inovastream, Lda (510610641)",365,145.2054794520548,53000.0
1641,Aquisição de serviços de suporte e manutenção corretiva no Portal de Requisições de Vinhetas e Receitas (PRVR) ,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,71317200-5,Principal,Serviços de saúde e segurança,59178.24 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","AltranPortugal, SA (504272179)","59.178,24 €",09-02-2017,2017-01-20,548 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,2096651,Acordo quadro para Prestação de Serviços de Consultadoria na área Jurídica às Instituições e Serviços do Serviço Nacional de Saúde e entidades do Ministério da Saúde ,False,,False,,,59178.24,504272179,"AltranPortugal, S.A. (504272179)",548,107.98948905109489,59178.24
1642,Aquisição de serviços de desenvolvimento aplicacional e de manutenção corretiva e evolutiva no âmbito da desmaterialização da Prescrição e Dispensa em ambulatório Hospitalar ,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,71317200-5,Principal,Serviços de saúde e segurança,123974.4 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","AltranPortugal, SA (504272179)","123.974,40 €",09-02-2017,2017-01-23,365 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,2096651,Acordo quadro para Prestação de Serviços de Consultadoria na área Jurídica às Instituições e Serviços do Serviço Nacional de Saúde e entidades do Ministério da Saúde ,False,,False,,,123974.4,504272179,"AltranPortugal, S.A. (504272179)",365,339.6558904109589,123974.4
1643,"Aquisição de sistemas elétricos e serviços de configuração, montagem e formação ",Ajuste Direto Regime Geral,Aquisição de bens móveis,31681410-0,Principal,Materiais eléctricos,73400.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Justag engenharia e Contruções Unipessoal (514017139),"73.400,00 €",01-02-2017,2016-12-30,30 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,01-02-2017,"73.400,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,73400.0,514017139,Justag engenharia e Contruções Unipessoal (514017139),30,2446.6666666666665,73400.0
1644,Aquisição de computadores portáteis ,Ajuste Direto Regime Geral,Aquisição de bens móveis,30213100-6,Principal,Computadores portáteis,9976.01 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Iten Solutions - Sistemas de Infornação, S. A (510728189)","9.976,01 €",31-01-2017,2016-12-28,30 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,31-12-2016,"9.976,01 €",,,,Não aplicável.,Não aplicável.,False,,False,,,9976.01,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)",30,332.53366666666665,9976.01
1645,Aquisição de serviços de desenvolvimento de módulos na PDS ,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,90851.84 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Altran Portugal, SA (504272179)","90.851,84 €",31-01-2017,2016-12-27,365 dias,"Artigo 21.º, n.º 2 do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,90851.84,504272179,"AltranPortugal, S.A. (504272179)",365,248.9091506849315,90851.84
1646,Aquisição de serviços de apoio para Núcleo de Apoio de Easy Procurament (@NEP),Ajuste Direto Regime Geral,Aquisição de serviços,79420000-4,Principal,Serviços relacionados com a gestão,25000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Solidnetworks Business Consulting, Lda. (508991579)","25.000,00 €",31-01-2017,2017-01-04,365 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,04-01-2018,"25.000,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,25000.0,508991579,"Solidnetworks - Business Consulting, Lda. (508991579)",365,68.4931506849315,25000.0
1647,Aquisição de economato para o ano de 2017 ,Ajuste Direto Regime Geral,Aquisição de bens móveis,30192700-8,Principal,Artigos de papelaria,7500.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Staples Portugal - Equip.Escrit.SA (503789372),"7.500,00 €",30-01-2017,2016-12-30,365 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,7500.0,503789372,"Staples Portugal, SA (503789372)",365,20.54794520547945,7500.0
1648,Aquisição de serviços especializados para Identificação dos Procedimentos e Normas aplicáveis em matéria de Segurança e Privacidade da Informação ,Ajuste Direto Regime Geral,Aquisição de serviços,79111000-5,Principal,Serviços de assessoria jurídica,60000.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Marksearch - Estudos de Mercado, L.da (IDC Portugal) (507510453)","60.000,00 €",30-01-2017,2016-12-27,93 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,60000.0,IDC Portugal,"Marksearch - Estudos de Mercado, L.da (IDC Portugal) (507510453)",93,645.1612903225806,60000.0
1649,Aquisição de serviços de manutenção evolutiva do SAM no âmbito da referenciação CTH e MCD ,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,63275.52 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altran Portugal, SA (504272179)","63.275,52 €",26-01-2017,2016-11-04,365 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,425776,CONCURSO PÚBLICO n.º 20120117 - ,False,,False,,,63275.52,504272179,"AltranPortugal, S.A. (504272179)",365,173.35758904109588,63275.52
1650,Aquisição de serviços de requalificação do edifício da SPMS ,Ajuste Direto Regime Geral,Aquisição de serviços,50700000-2,Principal,Serviços de reparação e manutenção de equipamento em edifícios,74404.15 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Smart Supreme Solutions - Tecnologia de Engenharia Unipessoal, Lda.                 al (513222847)","74.404,15 €",26-01-2017,2016-12-30,30 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,31-01-2017,"74.404,15 €",,,,Não aplicável.,Não aplicável.,False,,False,,,74404.15,513222847,"Smart Supreme Solutions - Tecnologia de Engenharia Unipessoal, Lda.                 al (513222847)",30,2480.1383333333333,74404.15
1651,Aquisição de serviços de aconselhamento na redução de riscos e minimização de danos na Unidade Móvel - Programa Troca de Seringas,Ajuste Direto Regime Geral,Aquisição de serviços,85312320-8,Principal,Serviços de aconselhamento,31465.87 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",LISBONPH-ASSOC. JUV.EMPREENDEDO. FAC.FARMA.UNIV.LX (510936342),"31.465,87 €",18-01-2017,2017-01-02,365 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,31465.87,510936342,LisbonPH - Associação Juvenil para o Empreendedorismo da Faculdade de Farmácia da Universidade de Lisboa (510936342),365,86.20786301369863,31465.87
